last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	participation	weekly %	Midterm	new midterm	final	new final	total	delta	grade
9950	9	14	18	18	20	17	17	15	20	89.70%	54	58	31	47	66.28	0.02	1.4
1253	6	15	20	19	17	11	0	18	18	75.15%	57	61	44	60	66.26	0.15	1.4
9399	6	8	19	14	15	20	17	11	20	78.79%	63	67	37	53	66.12	0.02	1.4
2781	8	14	9	0	8	18	9	3	18	52.73%	71	75	59	75	66.09	0.06	1.4
1553	10	13	20	18	11	10	15	13	18	77.58%	47	51	46	62	66.03	0.13	1.4
0201	8	15	20	16	18	 	11	17	20	75.76%	 	4	71	87	65.90	0.29	1.3
4709	10	13	17	19	17	 	 	8	20	63.03%	72	76	47	63	65.61	0.25	1.3
1824	7	14	18	0	19	17	0	0	9	50.91%	87	91	51	67	65.36	0.08	1.3
5595	9	15	15	19	19	11	15	3	9	69.70%	73	77	39	55	65.28	0.12	1.3
2415	7	15	19	18	13	18	0	7	20	70.91%	58	62	45	61	65.16	0.09	1.3
7866	10	12	17	18	17	0	0	2	20	58.18%	67	71	53	69	65.07	0.18	1.3
0002	8	14	19	15	16	0	0	14	20	64.24%	68	72	46	62	64.90	0.23	1.2
4255	9	15	18	19	19	19	20	4	20	86.67%	48	52	33	49	64.67	0.14	1.2
6203	9	15	20	 	20	 	 	18	20	61.82%	59	63	52	68	64.53	0.08	1.2
1423	9	14	20	16	20	20	17	16	20	92.12%	54	58	24	40	64.45	1.44	1.2
0916	9	15	17	19	16	18	8	15	20	83.03%	45	49	34	50	63.01	0.45	1.1
1630	10	15	9	17	9	18	18	15	20	79.39%	40	44	39	55	62.56	0.19	1
1192	10	15	13	13	15	1	0	 	3	42.42%	73	77	59	75	62.37	0.06	1
0571	9	13	18	15	19	17	 	0	20	67.27%	59	63	41	57	62.31	0.04	1
3095	10	14	16	17	14	 	 	 	6	46.67%	66	70	58	74	62.27	0.15	1
0112	6	13	18	13	15	12	 	 	20	58.79%	75	79	41	57	62.12	0.03	1
9425	10	14	18	19	18	16	0	19	20	81.21%	 	4	56	72	62.08	0.19	1
1699	8	12	20	14	16	8	10	12	20	72.73%	50	54	39	55	61.89	0.02	1
4485	9	13	19	19	0	16	0	14	20	66.67%	68	72	36	52	61.87	0.10	1
2510	8	15	15	15	11	0	0	0	20	50.91%	79	83	46	62	61.76	0.44	1
2446	9	12	13	19	0	16	0	13	20	61.82%	67	71	40	56	61.33	0.25	0.9
1550	9	14	17	17	16	16	17	3	20	78.18%	51	55	31	47	61.07	0.02	0.9
0917	5	15	18	17	16	16	17	14	20	83.64%	66	70	18	34	61.05	0.43	0.9
2353	8	15	19	 	16	 	15	 	3	46.06%	57	61	59	75	60.62	0.13	0.8
3576	9	14	17	16	0	15	15	14	20	72.73%	53	57	34	50	60.49	0.05	0.8
0497	7	11	18	20	18	2	0	4	20	60.61%	73	77	36	52	60.44	0.61	0.8
0001	10	15	20	16	16	0	14	17	20	77.58%	52	56	28	44	59.83	0.90	0.8
3457	10	14	20	19	16	0	0	0	9	53.33%	56	60	48	64	58.93	0.22	0.7
1443	9	13	17	14	15	7	2	0	20	58.79%	68	72	36	52	58.72	0.95	0.7
3971	9	15	17	16	13	0	0	13	20	62.42%	58	62	35	51	57.77	0.08	0.7
0207	10	14	14	12	14	7	7	3	20	61.21%	60	64	35	51	57.68	0.52	0.7
1352	8	14	20	17	16	19	20	16	6	82.42%	55	59	15	31	57.17	0.79	0.7
5715	7	15	17	19	15	13	15	20	20	85.45%	75	79	 	16	56.38	0.29	0.7
9670	9	14	13	10	0	4	4	13	20	52.73%	63	67	38	54	56.09	1.08	0
0028	8	14	18	16	 	9	 	 	20	51.52%	62	66	37	53	55.01	0.16	0
9231	9	14	10	14	19	0	0	0	20	52.12%	62	66	36	52	54.85	1.73	0
7565	8	14	14	10	12	1	14	9	15	58.79%	66	70	23	39	53.12	2.68	0
8409	10	10	7	16	7	9	0	16	20	57.58%	43	47	29	45	50.43	0.01	0
6208	9	15	14	19	17	6	0	7	3	54.55%	45	49	31	47	50.42	0.18	0
5737	7	14	19	19	19	16	0	0	20	69.09%	37	41	20	36	50.24	1.74	0
2779	9	13	11	13	12	 	 	 	15	44.24%	60	64	29	45	48.50	0.44	0
2305	9	13	18	17	16	3	0	0	15	55.15%	44	48	25	41	48.06	0.16	0
5487	7	13	17	17	18	0	0	0	20	55.76%	52	56	20	36	47.90	0.25	0
3006	10	 	19	19	18	 	 	 	20	52.12%	54	58	22	38	47.65	0.79	0
8126	9	15	20	16	18	4	19	3	20	75.15%	48	52	 	16	46.86	0.59	0
2307	9	13	20	15	 	 	 	 	6	38.18%	53	57	33	49	46.27	0.32	0
1539	7	15	20	18	16	17	18	0	20	79.39%	35	39	 	16	45.96	1.22	0
2040	7	15	16	19	0	2	0	0	15	44.85%	52	56	23	39	44.74	1.04	0
3785	10	15	0	17	13	17	0	0	20	55.76%	51	55	10	26	43.70	0.41	0
1552	7	14	20	17	16	0	0	4	9	52.73%	35	39	20	36	43.29	2.33	0
2553	10	0	0	18	17	0	0	0	20	39.39%	68	72	11	27	40.96	0.58	0
0119	10	12	9	2	0	0	0	3	20	33.94%	34	38	32	48	40.38	0.13	0
1336	6	12	3	 	7	 	 	 	6	20.61%	70	74	27	43	40.24	0.33	0
2993	8	12	8	11	 	 	 	 	6	27.27%	67	71	21	37	39.91	2.19	0
2984	8	15	14	17	14	 	 	 	15	50.30%	44	48	4	20	37.72	0.39	0
2397	8	14	17	 	0	18	13	 	18	53.33%	44	48	 	16	37.33	0.04	0
9253	8	14	18	13	 	 	 	 	20	44.24%	62	66	 	16	37.30	1.08	0
1480	6	15	11	18	15	0	0	0	6	43.03%	53	57	3	19	36.21	0.05	0
4801	10	15	12	16	16	0	0	0	15	50.91%	43	47	 	16	36.16	0.53	0
4485	0	15	0	0	 	 	 	 	0	9.09%	56	60	34	50	35.64	2.48	0
4941	8	14	0	0	15	0	0	0	9	27.88%	24	28	25	41	33.15	5.85	0
9592	8	14	0	15	0	0	0	0	3	24.24%	30	34	11	27	27.30	3.95	0
1791	9	6	 	 	 	 	 	 	12	16.36%	48	52	 	16	23.35	1.36	0
8585	7	13	18	14	0	0	0	0	9	36.97%	 	4	 	16	21.99	10.18	0
4227	10	0	 	 	 	 	 	 	9	11.52%	 	4	 	16	11.81	4.61	0
0018	0	0	0	 	 	 	 	 	0	0.00%	 	4	 	16	7.20	0.00	0
4798	 	 	 	 	 	 	 	 	0	0.00%	 	4	 	16	7.20	7.20	0


mean	8.7	14.2	18.2	17.9	17.2	16.0	15.1	15.6	18.8	83.72%	72.8	75.6	56.9	71.3	77.1	 	2.5
median	9	15	19	19	18	18	18	18	20	90.91%	74	78	59	75	80.8	 	2.75
